mort2yr0,mort2yr1,woundRecur0,woundRecur1,C_L,Delta
0.15,0.35,0.45,0.25,0.15,-49.804002852616065
0.2,0.35,0.45,0.25,0.15,-29.764108102479213
0.25,0.35,0.45,0.25,0.15,-13.475934963974396
0.30000000000000004,0.35,0.45,0.25,0.15,4.151755801108834
0.35,0.35,0.45,0.25,0.15,21.132817561763034
0.4,0.35,0.45,0.25,0.15,41.20898907410702
0.45,0.35,0.45,0.25,0.15,64.41155841259047
0.15,0.4,0.45,0.25,0.15,-66.22379787123265
0.2,0.4,0.45,0.25,0.15,-50.19155108689944
0.25,0.4,0.45,0.25,0.15,-37.39403353780199
0.30000000000000004,0.4,0.45,0.25,0.15,-14.392427541206985
0.35,0.4,0.45,0.25,0.15,1.1005004493430874
0.4,0.4,0.45,0.25,0.15,22.388257411691768
0.45,0.4,0.45,0.25,0.15,39.375415248113086
0.15,0.45,0.45,0.25,0.15,-86.98819706937553
0.2,0.45,0.45,0.25,0.15,-71.89707069182748
0.25,0.45,0.45,0.25,0.15,-53.60653854490607
0.30000000000000004,0.45,0.45,0.25,0.15,-37.57937852231032
0.35,0.45,0.45,0.25,0.15,-15.621394612447318
0.4,0.45,0.45,0.25,0.15,-1.4426450964813853
0.45,0.45,0.45,0.25,0.15,19.590392613899382
0.15,0.15,0.5,0.25,0.15,26.48794869479832
0.2,0.15,0.5,0.25,0.15,44.66489653708419
0.25,0.15,0.5,0.25,0.15,63.85078862869875
0.30000000000000004,0.15,0.5,0.25,0.15,79.8102315293392
0.35,0.15,0.5,0.25,0.15,101.09816705037781
0.4,0.15,0.5,0.25,0.15,117.59626395068511
0.45,0.15,0.5,0.25,0.15,135.7960953542639
0.15,0.2,0.5,0.25,0.15,12.334539025319827
0.2,0.2,0.5,0.25,0.15,32.189031690573984
0.25,0.2,0.5,0.25,0.15,46.80959513355003
0.30000000000000004,0.2,0.5,0.25,0.15,61.78203360501237
0.35,0.2,0.5,0.25,0.15,83.50093308794845
0.4,0.2,0.5,0.25,0.15,99.86381850290343
0.45,0.2,0.5,0.25,0.15,123.27802618253503
0.15,0.25,0.5,0.25,0.15,-6.63868456853703
0.2,0.25,0.5,0.25,0.15,13.755948300054058
0.25,0.25,0.5,0.25,0.15,29.401755430658397
0.30000000000000004,0.25,0.5,0.25,0.15,46.953249496860565
0.35,0.25,0.5,0.25,0.15,69.04840416735198
0.4,0.25,0.5,0.25,0.15,82.62861662902463
0.45,0.25,0.5,0.25,0.15,99.64472773884182
0.15,0.30000000000000004,0.5,0.25,0.15,-23.212082487135206
0.2,0.30000000000000004,0.5,0.25,0.15,-7.704160162783353
0.25,0.30000000000000004,0.5,0.25,0.15,9.731490434584941
0.30000000000000004,0.30000000000000004,0.5,0.25,0.15,25.058951650684833
0.35,0.30000000000000004,0.5,0.25,0.15,44.72030856767094
0.4,0.30000000000000004,0.5,0.25,0.15,64.50069887483619
0.45,0.30000000000000004,0.5,0.25,0.15,83.33084045878536
0.15,0.35,0.5,0.25,0.15,-42.804662179084175
0.2,0.35,0.5,0.25,0.15,-25.06015501329648
0.25,0.35,0.5,0.25,0.15,-8.924394977658096
0.30000000000000004,0.35,0.5,0.25,0.15,7.0061006534459125
0.35,0.35,0.5,0.25,0.15,25.006393902165883
0.4,0.35,0.5,0.25,0.15,42.20273273074122
0.45,0.35,0.5,0.25,0.15,64.58537596540623
0.15,0.4,0.5,0.25,0.15,-62.02143026102141
0.2,0.4,0.5,0.25,0.15,-44.279406913073615
0.25,0.4,0.5,0.25,0.15,-28.923735308556672
0.30000000000000004,0.4,0.5,0.25,0.15,-10.31238153936988
0.35,0.4,0.5,0.25,0.15,7.48797612577215
0.4,0.4,0.5,0.25,0.15,26.152311053302867
0.45,0.4,0.5,0.25,0.15,44.11669416065763
0.15,0.45,0.5,0.25,0.15,-79.96117345255146
0.2,0.45,0.5,0.25,0.15,-64.8001372933631
0.25,0.45,0.5,0.25,0.15,-44.21934116561118
0.30000000000000004,0.45,0.5,0.25,0.15,-30.10034453863932
0.35,0.45,0.5,0.25,0.15,-12.346734119366317
0.4,0.45,0.5,0.25,0.15,5.542883779192493
0.45,0.45,0.5,0.25,0.15,26.98189434063255
0.15,0.15,0.55,0.25,0.15,35.153303693316616
0.2,0.15,0.55,0.25,0.15,51.3430247809988
0.25,0.15,0.55,0.25,0.15,67.02038464647819
0.30000000000000004,0.15,0.55,0.25,0.15,86.59803442444257
0.35,0.15,0.55,0.25,0.15,108.16968367405525
0.4,0.15,0.55,0.25,0.15,120.13542456506332
0.45,0.15,0.55,0.25,0.15,140.28204606275455
0.15,0.2,0.55,0.25,0.15,19.720602666158584
0.2,0.2,0.55,0.25,0.15,33.09779257958064
0.25,0.2,0.55,0.25,0.15,51.21178128429881
0.30000000000000004,0.2,0.55,0.25,0.15,69.65526002267325
0.35,0.2,0.55,0.25,0.15,87.02877022243462
0.4,0.2,0.55,0.25,0.15,104.76791399834354
0.45,0.2,0.55,0.25,0.15,124.11215236784028
0.15,0.25,0.55,0.25,0.15,-3.621991056028719
0.2,0.25,0.55,0.25,0.15,16.185380330672047
0.25,0.25,0.55,0.25,0.15,32.827296121701636
0.30000000000000004,0.25,0.55,0.25,0.15,50.76083779531348
0.35,0.25,0.55,0.25,0.15,67.94430887851473
0.4,0.25,0.55,0.25,0.15,88.11424101369886
0.45,0.25,0.55,0.25,0.15,105.24904610520235
0.15,0.30000000000000004,0.55,0.25,0.15,-17.39256596268814
0.2,0.30000000000000004,0.55,0.25,0.15,-0.12108674596947822
0.25,0.30000000000000004,0.55,0.25,0.15,12.464976432470792
0.30000000000000004,0.30000000000000004,0.55,0.25,0.15,31.15775734547168
0.35,0.30000000000000004,0.55,0.25,0.15,52.330714851308585
0.4,0.30000000000000004,0.55,0.25,0.15,66.8714265285688
0.45,0.30000000000000004,0.55,0.25,0.15,88.98492462894365
0.15,0.35,0.55,0.25,0.15,-38.31714769958285
0.2,0.35,0.55,0.25,0.15,-21.494933002871562
0.25,0.35,0.55,0.25,0.15,-4.3694871237262305
0.30000000000000004,0.35,0.55,0.25,0.15,14.81324860662454
0.35,0.35,0.55,0.25,0.15,27.992482610443062
0.4,0.35,0.55,0.25,0.15,49.145512326311575
0.45,0.35,0.55,0.25,0.15,65.90237821660065
0.15,0.4,0.55,0.25,0.15,-58.13356434483245
0.2,0.4,0.55,0.25,0.15,-41.11184749978645
0.25,0.4,0.55,0.25,0.15,-24.1304369549714
0.30000000000000004,0.4,0.55,0.25,0.15,-7.119736159329477
0.35,0.4,0.55,0.25,0.15,11.490678256171918
0.4,0.4,0.55,0.25,0.15,30.91820886342549
0.45,0.4,0.55,0.25,0.15,50.79246219040806
0.15,0.45,0.55,0.25,0.15,-75.98187817096425
0.2,0.45,0.55,0.25,0.15,-62.99662454909304
0.25,0.45,0.55,0.25,0.15,-41.77951539358071
0.30000000000000004,0.45,0.55,0.25,0.15,-25.96998299081821
0.35,0.45,0.55,0.25,0.15,-8.581152193381456
0.4,0.45,0.55,0.25,0.15,11.83935325975699
0.45,0.45,0.55,0.25,0.15,32.189759329379285
0.15,0.15,0.25,0.3,0.15,-5.538504994651589
0.2,0.15,0.25,0.3,0.15,10.223123200989335
0.25,0.15,0.25,0.3,0.15,28.185777493382318
0.30000000000000004,0.15,0.25,0.3,0.15,48.9348647595026
0.35,0.15,0.25,0.3,0.15,64.63816049944802
0.4,0.15,0.25,0.3,0.15,88.819594716053075
0.45,0.15,0.25,0.3,0.15,107.89234580308573
0.15,0.2,0.25,0.3,0.15,-23.878669060517097
0.2,0.2,0.25,0.3,0.15,-7.780939744755528
0.25,0.2,0.25,0.3,0.15,10.32626058675288
0.30000000000000004,0.2,0.25,0.3,0.15,29.365543788234106
0.35,0.2,0.25,0.3,0.15,50.04509811580749
0.4,0.2,0.25,0.3,0.15,68.88018077642221
0.45,0.2,0.25,0.3,0.15,87.86046343472975
0.15,0.25,0.25,0.3,0.15,-43.2006057740104
0.2,0.25,0.25,0.3,0.15,-26.659031512866704
0.25,0.25,0.25,0.3,0.15,-8.03333056166889
0.30000000000000004,0.25,0.25,0.3,0.15,13.008454150603939
0.35,0.25,0.25,0.3,0.15,32.563537659726705
0.4,0.25,0.25,0.3,0.15,55.34587991968601
0.45,0.25,0.25,0.3,0.15,71.61756101915762
0.15,0.30000000000000004,0.25,0.3,0.15,-60.54803854833057
0.2,0.30000000000000004,0.25,0.3,0.15,-42.44574091598224
0.25,0.30000000000000004,0.25,0.3,0.15,-26.00636850088165
0.30000000000000004,0.30000000000000004,0.25,0.3,0.15,-7.255428746705945
0.35,0.30000000000000004,0.25,0.3,0.15,13.724212938270682
0.4,0.30000000000000004,0.25,0.3,0.15,32.18287430873181
0.45,0.30000000000000004,0.25,0.3,0.15,54.05983302635735
0.15,0.35,0.25,0.3,0.15,-78.85613118467171
0.2,0.35,0.25,0.3,0.15,-58.240966040211674
0.25,0.35,0.25,0.3,0.15,-46.740791383009025
0.30000000000000004,0.35,0.25,0.3,0.15,-23.301438566118463
0.35,0.35,0.25,0.3,0.15,-6.4483692703358315
0.4,0.35,0.25,0.3,0.15,12.872475722485888
0.45,0.35,0.25,0.3,0.15,32.86286396033137
0.15,0.4,0.25,0.3,0.15,-97.73916018139454
0.2,0.4,0.25,0.3,0.15,-79.62370867772296
0.25,0.4,0.25,0.3,0.15,-64.48644285320142
0.30000000000000004,0.4,0.25,0.3,0.15,-43.28236377378556
0.35,0.4,0.25,0.3,0.15,-25.215788562240107
0.4,0.4,0.25,0.3,0.15,-3.052043500039588
0.45,0.4,0.25,0.3,0.15,15.995743359730625
0.15,0.45,0.25,0.3,0.15,-117.17533231509356
0.2,0.45,0.25,0.3,0.15,-97.75147659345038
0.25,0.45,0.25,0.3,0.15,-82.91758965029987
0.30000000000000004,0.45,0.25,0.3,0.15,-63.10060375070981
0.35,0.45,0.25,0.3,0.15,-43.57861796842127
0.4,0.45,0.25,0.3,0.15,-24.956619598851717
0.45,0.45,0.25,0.3,0.15,-5.251779139376708
0.2,0.15,0.3,0.3,0.15,16.906938564778613
0.25,0.15,0.3,0.3,0.15,36.03856636020555
0.30000000000000004,0.15,0.3,0.3,0.15,53.6802800874388
0.35,0.15,0.3,0.3,0.15,72.56002937052142
0.4,0.15,0.3,0.3,0.15,90.78140182764031
0.45,0.15,0.3,0.3,0.15,110.42477833281333
0.15,0.2,0.3,0.3,0.15,-19.532943855585074
0.25,0.2,0.3,0.3,0.15,18.555881891841466
0.30000000000000004,0.2,0.3,0.3,0.15,33.084361602051445
0.35,0.2,0.3,0.3,0.15,55.646704010042185
0.4,0.2,0.3,0.3,0.15,77.4301239611259
0.45,0.2,0.3,0.3,0.15,94.44840323902281
0.15,0.25,0.3,0.3,0.15,-35.39981975121117
0.2,0.25,0.3,0.3,0.15,-16.07420561532041
0.30000000000000004,0.25,0.3,0.3,0.15,17.31948211541328
0.35,0.25,0.3,0.3,0.15,33.15003130345434
0.4,0.25,0.3,0.3,0.15,54.99173878721251
0.45,0.25,0.3,0.3,0.15,74.31352347654979
0.15,0.30000000000000004,0.3,0.3,0.15,-56.39809526451228
0.2,0.30000000000000004,0.3,0.3,0.15,-38.31310484796319
0.25,0.30000000000000004,0.3,0.3,0.15,-16.61729262311485
0.35,0.30000000000000004,0.3,0.3,0.15,20.330283996356286
0.4,0.30000000000000004,0.3,0.3,0.15,39.42732302715274
0.45,0.30000000000000004,0.3,0.3,0.15,58.483916274365754
0.15,0.35,0.3,0.3,0.15,-72.82441094757769
0.2,0.35,0.3,0.3,0.15,-52.53104235723805
0.25,0.35,0.3,0.3,0.15,-39.113817130896564
0.30000000000000004,0.35,0.3,0.3,0.15,-20.05037129094194
0.4,0.35,0.3,0.3,0.15,21.353733962163858
0.45,0.35,0.3,0.3,0.15,40.19917916406695
0.15,0.4,0.3,0.3,0.15,-89.73881583776637
0.2,0.4,0.3,0.3,0.15,-75.07194578330132
0.25,0.4,0.3,0.3,0.15,-58.298591099240014
0.30000000000000004,0.4,0.3,0.3,0.15,-38.363057312655656
0.35,0.4,0.3,0.3,0.15,-19.07943547901897
0.45,0.4,0.3,0.3,0.15,20.388929944370886
0.15,0.45,0.3,0.3,0.15,-110.0574945681251
0.2,0.45,0.3,0.3,0.15,-92.2836238033741
0.25,0.45,0.3,0.3,0.15,-77.64155285336085
0.30000000000000004,0.45,0.3,0.3,0.15,-53.41643473294283
0.35,0.45,0.3,0.3,0.15,-36.948876508474314
